Date	Return
20020128	-0.019414563
20020129	-2.90301086
20020130	1.167924178
20020131	1.482353763
20020201	-0.710356388
20020204	-2.504822741
20020205	-0.404677223
20020206	-0.59902734
20020207	-0.308733514
20020208	1.474946215
20020211	1.423833923
20020212	-0.40010146
20020213	0.989221952
20020214	-0.181656344
20020215	-1.107790097
20020219	-1.905411654
20020220	1.342326648
0	-1.563184387
20020222	0.819061236
20020225	1.781547344
0	-0.00450692
20020227	0.04596106
20020228	-0.285118978
20020301	2.238189307
20020304	1.930389569
20020305	-0.669573541
20020306	1.44053147
20020307	-0.450802596
20020308	0.583157326
20020311	0.33868255
20020312	-0.229664517
20020313	-0.990666256
20020314	-0.091022185
20020315	1.131436699
20020318	-0.052322117
20020319	0.405850273
20020320	-1.588223588
20020321	0.150947353
20020322	-0.424795083
20020325	-1.475973597
20020326	0.58316908
20020327	0.533493449
20020328	0.24520403
20020401	-0.074108629
20020402	-0.856660081
20020403	-1.004358268
20020404	0.083490994
20020405	-0.321021853
20020408	0.227756079
20020409	-0.667831236
20020410	1.12710076
20020411	-2.397436413
20020412	0.661040019
20020415	-0.764383273
20020416	2.314843469
20020417	-0.204041873
20020418	-0.142188121
20020419	0.062232181
20020422	-1.55309884
20020423	-0.622062048
20020424	-0.712823765
20020425	-0.151971539
20020426	-1.398675814
20020429	-1.015057017
20020430	1.070786988
20020501	0.881958957
20020502	-0.175032979
20020503	-1.031524584
20020506	-1.952933522
20020507	-0.302546184
20020508	3.681776153
20020509	-1.465431015
20020510	-1.693649506
20020513	1.837998726
20020514	2.092311483
20020515	-0.567552418
20020516	0.654092681
20020517	0.758342183
20020520	-1.338223358
20020521	-1.105105732
20020522	0.56697137
20020523	1.013246725
20020524	-1.216026723
20020528	-0.858986828
20020529	-0.64326315
0	-0.281383843
0	0.232667335
20020603	-2.510782707
20020604	0.000960906
20020605	0.881096684
20020606	-1.996170272
20020607	-0.157535478
20020610	0.311912684
20020611	-1.676864086
20020612	0.654914675
20020613	-1.054290441
0	-0.227089143
0	2.82875221
20020618	0.093570192
20020619	-1.667410163
20020620	-1.352252281
20020621	-1.718970076
20020624	0.361277173
20020625	-1.684263172
20020626	-0.267737777
20020627	1.742255793
20020628	-0.082809049
20020701	-2.161975888
20020702	-2.145391508
20020703	0.620375476
20020705	3.607147562
20020708	-1.225848383
20020709	-2.502967731
20020710	-3.455209453
20020711	0.746821377
20020712	-0.646922354
20020715	-0.37622644
20020716	-1.868247227
20020717	0.564479246
20020718	-2.739038986
20020719	-3.910728431
20020722	-3.346438431
20020723	-2.738880978
20020724	5.574432407
20020725	-0.564768371
20020726	1.674272935
